,player_name,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,passing_air_yards,carries,rushing_yards,rushing_tds,rushing_fumbles,receptions,targets,receiving_yards,receiving_tds,receiving_yards_after_catch,fantasy_points
648,T.Bridgewater,2017,REG,0,2,0.0,0,1.0,0.0,7.0,3,-3.0,0,0.0,0,0,0.0,0,0.0,-2.3
649,P.Richardson,2016,REG,0,0,0.0,0,0.0,0.0,0.0,1,5.0,0,0.0,21,36,288.0,1,95.0,35.3
650,P.Richardson,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,44,80,703.0,6,135.0,106.3
651,L.Thomas,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,7,9,67.0,1,11.0,12.7
652,W.Powell,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,14,25,142.0,0,45.0,14.200000000000001
653,C.Brate,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,57,81,660.0,8,136.0,114.0
654,C.Brate,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,48,77,591.0,6,143.0,95.10000000000001
655,B.Oliver,2017,REG,0,0,0.0,0,0.0,0.0,0.0,35,83.0,0,0.0,6,11,26.0,0,31.0,10.9
656,D.Carr,2016,REG,357,560,3937.0,28,6.0,16.0,4343.0,39,70.0,0,3.0,0,0,0.0,0,0.0,268.48
657,D.Carr,2017,REG,323,515,3496.0,22,13.0,20.0,4244.0,23,66.0,0,4.0,0,0,0.0,0,0.0,204.44
658,D.Freeman,2016,REG,0,0,0.0,0,0.0,0.0,0.0,227,1079.0,11,1.0,54,65,462.0,2,416.0,230.1
659,D.Freeman,2017,REG,0,0,0.0,0,0.0,0.0,0.0,196,865.0,7,4.0,36,47,317.0,1,244.0,164.20000000000002
660,A.McCarron,2017,REG,7,14,66.0,0,0.0,1.0,105.0,0,0.0,0,0.0,0,0,0.0,0,0.0,2.64
661,J.Wright,2016,REG,0,0,0.0,0,0.0,0.0,0.0,2,-6.0,0,0.0,13,19,106.0,0,35.0,10.0
662,J.Matthews,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,73,117,804.0,3,243.0,98.4
663,J.Matthews,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,25,36,282.0,1,124.0,32.2
664,J.Hill,2016,REG,0,0,0.0,0,0.0,0.0,0.0,222,839.0,9,0.0,21,27,174.0,0,164.0,155.3
665,J.Hill,2017,REG,0,0,0.0,0,0.0,0.0,0.0,37,116.0,0,1.0,4,4,16.0,0,30.0,13.200000000000001
666,C.Fiedorowicz,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,54,89,559.0,4,212.0,79.9
667,C.Fiedorowicz,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,14,22,127.0,0,37.0,12.700000000000001
668,W.Aikens,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,6.0
669,D.Street,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,6,20.0,0,2.0,2.0
670,M.Hazel,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,1,1.0,0,2.0,0.1
671,S.Watkins,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,28,52,430.0,2,52.0,55.0
672,S.Watkins,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,39,70,593.0,8,185.0,107.30000000000001
673,B.Ellington,2017,REG,0,0,0.0,0,0.0,0.0,0.0,3,17.0,0,0.0,29,57,330.0,2,136.0,46.7
674,F.Toussaint,2016,REG,0,0,0.0,0,0.0,0.0,0.0,14,58.0,0,0.0,3,3,33.0,0,39.0,9.100000000000001
675,F.Toussaint,2017,REG,0,0,0.0,0,0.0,0.0,0.0,6,25.0,0,0.0,2,3,9.0,0,12.0,3.4000000000000004
676,D.Moncrief,2016,REG,0,0,0.0,0,0.0,0.0,0.0,1,-1.0,0,0.0,30,56,307.0,7,78.0,72.6
677,D.Moncrief,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,26,47,391.0,2,79.0,51.1
678,C.Latimer,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,8,15,76.0,0,24.0,7.6000000000000005
679,C.Latimer,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,19,31,287.0,2,64.0,42.7
680,J.Garoppolo,2016,REG,43,63,502.0,4,0.0,3.0,498.0,10,6.0,0,1.0,1,1,3.0,0,7.0,34.980000000000004
681,J.Garoppolo,2017,REG,120,178,1560.0,7,5.0,8.0,1572.0,15,11.0,1,1.0,1,1,-6.0,0,0.0,86.9
682,K.Benjamin,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,63,118,941.0,7,238.0,134.1
683,K.Benjamin,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,48,78,692.0,3,139.0,87.2
684,M.Palardy,2017,REG,0,1,0.0,0,0.0,0.0,6.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
685,M.Bryant,2017,REG,0,0,0.0,0,0.0,0.0,0.0,6,22.0,0,0.0,50,84,603.0,3,170.0,82.5
686,T.West,2016,REG,0,0,0.0,0,0.0,0.0,0.0,193,774.0,5,2.0,34,45,236.0,1,234.0,137.0
687,T.West,2017,REG,0,0,0.0,0,0.0,0.0,0.0,39,138.0,2,1.0,2,4,23.0,0,21.0,26.1
688,J.McKinnon,2016,REG,0,1,0.0,0,0.0,0.0,18.0,159,539.0,2,0.0,43,53,255.0,2,271.0,105.4
689,J.McKinnon,2017,REG,0,0,0.0,0,0.0,0.0,0.0,150,570.0,3,2.0,51,68,421.0,2,450.0,127.10000000000001
690,D.Adams,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,75,121,997.0,12,386.0,171.70000000000002
691,D.Adams,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,74,117,885.0,10,338.0,148.5
692,J.Landry,2016,REG,0,1,0.0,0,0.0,0.0,19.0,5,17.0,0,0.0,94,131,1136.0,4,616.0,139.3
693,J.Landry,2017,REG,0,1,0.0,0,0.0,0.0,11.0,1,-7.0,0,0.0,112,161,987.0,9,498.0,148.0
694,R.Rodgers,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,30,47,271.0,2,105.0,39.1
695,R.Rodgers,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,12,19,160.0,1,89.0,22.0
696,E.Ebron,2016,REG,0,0,0.0,0,0.0,0.0,0.0,1,1.0,1,0.0,61,85,711.0,1,283.0,83.2
697,E.Ebron,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,53,86,574.0,4,258.0,79.4
698,C.Sims,2016,REG,0,0,0.0,0,0.0,0.0,0.0,51,149.0,1,1.0,24,32,190.0,1,175.0,43.9
699,C.Sims III,2017,REG,0,0,0.0,0,0.0,0.0,0.0,21,95.0,0,0.0,35,47,249.0,1,206.0,38.4
700,B.Bortles,2016,REG,368,625,3905.0,23,16.0,34.0,5140.0,58,359.0,3,2.0,1,1,20.0,1,5.0,270.1
701,B.Bortles,2017,REG,315,523,3687.0,21,13.0,24.0,4021.0,57,322.0,2,3.0,0,0,0.0,0,0.0,249.68
702,M.Evans,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,96,173,1321.0,12,179.0,208.1
703,M.Evans,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,71,136,1001.0,5,134.0,132.1
704,A.Seferian-Jenkins,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,13,20,154.0,1,28.0,21.400000000000002
705,A.Seferian-Jenkins,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,50,74,357.0,3,124.0,51.7
706,K.Redfern,2017,REG,0,0,0.0,0,0.0,0.0,0.0,1,10.0,0,1.0,0,0,0.0,0,0.0,1.0
707,A.Robinson,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,73,151,883.0,6,210.0,126.30000000000001
708,A.Robinson,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,1,17.0,0,2.0,1.7000000000000002
709,M.Lee,2016,REG,1,1,20.0,1,0.0,0.0,15.0,6,35.0,0,0.0,63,105,851.0,3,338.0,117.4
710,M.Lee,2017,REG,0,1,0.0,0,0.0,0.0,27.0,1,17.0,0,0.0,56,96,702.0,3,289.0,91.9
711,T.Lewan,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,1,10.0,1,12.0,7.0
712,C.Manhertz,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,1,10.0,0,0.0,1.0
713,C.Manhertz,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,2,4,17.0,0,9.0,1.7000000000000002
714,J.Berry,2016,REG,0,0,0.0,0,0.0,0.0,0.0,1,-3.0,0,1.0,0,0,0.0,0,0.0,-0.30000000000000004
715,J.Winston,2016,REG,345,567,4090.0,28,18.0,35.0,5776.0,53,165.0,1,4.0,0,0,0.0,0,0.0,256.1
716,J.Winston,2017,REG,282,442,3504.0,19,11.0,33.0,4693.0,33,135.0,1,4.0,0,0,0.0,0,0.0,201.66
717,D.White,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,7,24.0,0,1.0,2.4000000000000004
718,J.Whitehead,2017,REG,0,0,0.0,0,0.0,0.0,0.0,1,7.0,0,0.0,0,0,0.0,0,0.0,0.7000000000000001
719,Q.Bray,2016,REG,0,0,0.0,0,0.0,0.0,0.0,1,7.0,0,0.0,3,4,36.0,0,13.0,4.3
720,Q.Bray,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,3,4,39.0,0,10.0,3.9000000000000004
721,R.Telfer,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,2,7,4.0,0,9.0,0.4
722,R.Telfer,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,3,4,36.0,0,0.0,3.6
723,A.Cooper,2016,REG,0,0,0.0,0,0.0,0.0,0.0,1,0.0,0,0.0,83,132,1153.0,5,436.0,149.3
724,A.Cooper,2017,REG,0,0,0.0,0,0.0,0.0,0.0,1,4.0,0,0.0,48,96,680.0,7,293.0,110.4
725,K.White,2016,REG,0,0,0.0,0,0.0,0.0,0.0,1,9.0,0,0.0,19,36,187.0,0,54.0,19.6
726,K.White,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,2,4,6.0,0,2.0,0.6000000000000001
727,D.Parker,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,56,87,744.0,4,236.0,98.4
728,D.Parker,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,57,96,670.0,1,207.0,73.0
729,N.Agholor,2016,REG,0,0,0.0,0,0.0,0.0,0.0,5,14.0,0,0.0,36,69,365.0,2,98.0,51.9
730,N.Agholor,2017,REG,0,0,0.0,0,0.0,0.0,0.0,1,7.0,0,0.0,62,95,768.0,8,301.0,125.5
731,S.Thompson,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,1,0.0,0,0.0,0.0
732,M.Williams,2017,REG,0,0,0.0,0,0.0,0.0,0.0,2,6.0,0,0.0,15,18,86.0,1,100.0,13.200000000000001
733,J.Strong,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,14,24,131.0,0,32.0,13.100000000000001
734,J.Strong,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,3,4,38.0,1,15.0,9.8
735,B.Petty,2016,REG,75,133,809.0,3,7.0,13.0,1169.0,5,19.0,0,0.0,0,0,0.0,0,0.0,32.26
736,B.Petty,2017,REG,55,112,544.0,1,3.0,8.0,899.0,7,55.0,0,0.0,0,0,0.0,0,0.0,25.259999999999998
737,J.Langford,2016,REG,0,0,0.0,0,0.0,0.0,0.0,62,200.0,4,2.0,19,27,142.0,0,130.0,54.2
738,J.Hardy,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,21,31,203.0,4,48.0,44.300000000000004
739,J.Hardy,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,20,29,221.0,3,76.0,40.1
740,J.Allen,2016,REG,0,0,0.0,0,0.0,0.0,0.0,9,34.0,0,0.0,3,4,15.0,0,22.0,4.9
741,J.Allen,2017,REG,0,0,0.0,0,0.0,0.0,0.0,153,591.0,4,0.0,46,60,250.0,2,218.0,120.10000000000001
742,M.Pruitt,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,2,2,13.0,0,9.0,1.3000000000000003
743,S.Diggs,2016,REG,0,0,0.0,0,0.0,0.0,0.0,3,10.0,0,0.0,84,112,903.0,3,319.0,109.30000000000001
744,S.Diggs,2017,REG,0,0,0.0,0,0.0,0.0,0.0,8,13.0,0,0.0,64,95,849.0,8,298.0,134.20000000000002
745,B.Hundley,2016,REG,2,10,17.0,0,1.0,0.0,100.0,3,-2.0,0,1.0,0,0,0.0,0,0.0,-1.52
746,B.Hundley,2017,REG,192,316,1836.0,9,12.0,29.0,2393.0,36,270.0,2,1.0,1,1,10.0,0,15.0,123.44000000000001
747,J.Ajayi,2016,REG,0,0,0.0,0,0.0,0.0,0.0,260,1272.0,8,4.0,27,35,151.0,0,132.0,188.3
748,J.Ajayi,2017,REG,0,0,0.0,0,0.0,0.0,0.0,208,873.0,1,3.0,24,34,158.0,1,176.0,111.10000000000001
749,M.Burton,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,1,0.0,0,0.0,0.0
750,M.Burton,2017,REG,0,0,0.0,0,0.0,0.0,0.0,4,9.0,0,0.0,2,4,8.0,0,9.0,1.7000000000000002
751,N.Boyle,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,6,6,44.0,0,21.0,4.4
752,N.Boyle,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,28,37,203.0,0,153.0,22.3
753,C.Artis-Payne,2016,REG,0,0,0.0,0,0.0,0.0,0.0,36,144.0,2,0.0,1,1,11.0,0,15.0,27.5
754,C.Artis-Payne,2017,REG,0,0,0.0,0,0.0,0.0,0.0,18,95.0,1,0.0,1,1,2.0,0,6.0,15.700000000000001
755,K.Mumphery,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,10,12,69.0,0,20.0,6.9
756,A.Derby,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,16,20,160.0,0,50.0,14.0
757,A.Derby,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,21,40,244.0,2,92.0,34.4
758,D.Waller,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,10,17,85.0,2,39.0,20.5
759,A.Ripkowski,2016,REG,0,0,0.0,0,0.0,0.0,0.0,34,150.0,2,0.0,9,10,46.0,1,29.0,37.6
760,A.Ripkowski,2017,REG,0,0,0.0,0,0.0,0.0,0.0,5,13.0,0,0.0,7,10,39.0,0,22.0,5.2
761,B.Mihalik,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,1,-4.0,0,0.0,-0.4
762,Z.Zenner,2016,REG,0,0,0.0,0,0.0,0.0,0.0,88,334.0,4,1.0,18,23,196.0,0,205.0,75.0
763,Z.Zenner,2017,REG,0,0,0.0,0,0.0,0.0,0.0,14,26.0,1,0.0,0,1,0.0,0,0.0,8.6
764,T.Ward,2016,REG,0,0,0.0,0,0.0,0.0,0.0,31,151.0,0,0.0,1,2,11.0,0,9.0,16.200000000000003
765,T.Ward,2017,REG,0,0,0.0,0,0.0,0.0,0.0,30,129.0,0,1.0,3,3,14.0,0,21.0,12.3
766,S.Wynn,2016,REG,0,0,0.0,0,0.0,0.0,0.0,2,5.0,0,0.0,1,3,19.0,0,12.0,2.4000000000000004
767,R.Mostert,2016,REG,0,0,0.0,0,0.0,0.0,0.0,1,6.0,0,0.0,0,0,0.0,0,0.0,0.6000000000000001
768,R.Mostert,2017,REG,0,0,0.0,0,0.0,0.0,0.0,6,30.0,0,1.0,0,0,0.0,0,0.0,1.0000000000000002
769,E.Tomlinson,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,8,11,121.0,1,68.0,18.1
770,J.Taylor,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,16,25,209.0,2,82.0,30.9
771,J.Taylor,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,13,20,142.0,0,45.0,14.200000000000001
772,P.Lasike,2016,REG,0,0,0.0,0,0.0,0.0,0.0,3,8.0,0,0.0,1,1,3.0,0,1.0,1.1
773,M.Darr,2016,REG,0,0,0.0,0,0.0,0.0,0.0,1,0.0,0,1.0,0,0,0.0,0,0.0,0.0
774,C.Grant,2016,REG,0,0,0.0,0,0.0,0.0,0.0,32,164.0,1,0.0,4,7,35.0,1,32.0,31.900000000000002
